Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod
2014-10-28T00:00:00,81.66,80.36,81.42,1,1000,28,2014,80.52,0.7211480671662802,94.57
2014-10-29T00:00:00,82.88,81.44,82.2,2,1000,29,2014,80.52,0.73022699397003,94.57
2014-10-30T00:00:00,82.09,80.72,81.12,3,1000,30,2014,80.52,0.7369133885629717,94.57
2014-10-31T00:00:00,81.27,79.55,80.54,4,1000,31,2014,80.52,0.7433520855566972,94.57
2014-11-03T00:00:00,80.98,78.08,78.78,0,1100,3,2014,78.78,0.5561099876096,91.16
2014-11-04T00:00:00,78.41,75.84,77.19,1,1100,4,2014,77.19,0.5750102156224702,91.01
2014-11-05T00:00:00,79.35,76.46,78.68,2,1100,5,2014,77.19,0.5911921534889313,91.01
2014-11-06T00:00:00,78.98,77.12,77.91,3,1100,6,2014,77.19,0.5630677901197026,90.34
2014-11-07T00:00:00,79.41,77.47,78.65,4,1100,7,2014,77.19,0.5759484580404772,90.34
2014-11-10T00:00:00,79.85,77.13,77.4,0,1100,10,2014,77.19,0.4942915262696758,88.85
2014-11-11T00:00:00,78.04,76.42,77.94,1,1100,11,2014,77.19,0.40847594244068125,87.31
2014-11-12T00:00:00,78.08,76.63,77.18,2,1100,12,2014,77.18,0.3279006437602917,85.82
2014-11-13T00:00:00,77.16,74.07,74.21,3,1100,13,2014,74.21,0.3768805282251835,85.82
2014-11-14T00:00:00,76.3,73.25,75.82,4,1100,14,2014,74.21,0.38797356438079544,85.74
2014-11-17T00:00:00,76.18,74.71,75.64,0,1100,17,2014,74.21,0.23972202919020255,82.81
2014-11-18T00:00:00,76.44,74.12,74.61,1,1100,18,2014,74.21,0.2537399823922378,82.81
2014-11-19T00:00:00,75.4,73.88,74.58,2,1100,19,2014,74.21,0.2671935688254741,82.81
2014-11-20T00:00:00,75.76,74.17,75.58,3,1100,20,2014,74.21,0.27929774165709115,82.81
2014-11-21T00:00:00,77.83,75.62,76.51,4,1100,21,2014,74.21,0.29095514979172876,82.81
2014-11-24T00:00:00,77.02,75.45,75.78,0,1100,24,2014,74.21,0.30404523258078725,82.81
2014-11-25T00:00:00,76.58,73.71,74.09,1,1100,25,2014,74.09,0.2846231938724893,82.2
2014-11-26T00:00:00,74.48,73.3,73.69,2,1100,26,2014,73.69,0.3046119271528285,82.2
2014-11-28T00:00:00,73.56,65.69,66.15,4,1100,28,2014,66.15,0.38552592493692606,82.2
2014-12-01T00:00:00,69.54,63.72,69.0,0,1200,1,2014,66.15,0.4068352921881256,82.2
2014-12-02T00:00:00,69.32,66.67,66.88,1,1200,2,2014,66.15,0.42807530782696734,82.2
2014-12-03T00:00:00,68.23,66.8,67.38,2,1200,3,2014,66.15,0.447335608061082,82.2
2014-12-04T00:00:00,68.22,66.09,66.81,3,1200,4,2014,66.15,0.4106921360505997,81.12
2014-12-05T00:00:00,66.89,65.17,65.84,4,1200,5,2014,65.84,0.4027802821888439,80.54
2014-12-08T00:00:00,65.55,62.78,63.05,0,1200,8,2014,63.05,0.3557128784984832,78.78
2014-12-09T00:00:00,64.2,62.25,63.82,1,1200,9,2014,63.05,0.3715342784107271,78.68
2014-12-10T00:00:00,63.43,60.43,60.94,2,1200,10,2014,60.94,0.40387428586066154,78.68
2014-12-11T00:00:00,61.68,58.96,59.95,3,1200,11,2014,59.95,0.4295712033422985,78.65
2014-12-12T00:00:00,59.57,57.34,57.81,4,1200,12,2014,57.81,0.4595695284742292,78.65
2014-12-15T00:00:00,58.73,55.02,55.91,0,1200,15,2014,55.91,0.45772301840105134,77.94
2014-12-16T00:00:00,57.15,53.6,55.93,1,1200,16,2014,55.91,0.4793824946063935,77.94
2014-12-17T00:00:00,58.98,54.21,56.47,2,1200,17,2014,55.91,0.46884817625264286,77.18
2014-12-18T00:00:00,58.73,54.05,54.11,3,1200,18,2014,54.11,0.4704777255646073,76.51
2014-12-19T00:00:00,56.91,54.2,56.52,4,1200,19,2014,54.11,0.4905830407477094,76.51
2014-12-22T00:00:00,58.53,55.13,55.26,0,1200,22,2014,54.11,0.5111617460048326,76.51
2014-12-23T00:00:00,57.56,55.06,57.12,1,1200,23,2014,54.11,0.5321355312555587,76.51
2014-12-24T00:00:00,57.15,55.07,55.84,2,1200,24,2014,54.11,0.5497513083583806,76.51
2014-12-26T00:00:00,56.59,54.51,54.73,4,1200,26,2014,54.11,0.5664519888010224,76.51
2014-12-29T00:00:00,55.74,52.9,53.61,0,1200,29,2014,53.61,0.5864240057965812,76.51
2014-12-30T00:00:00,54.32,52.7,54.12,1,1200,30,2014,53.61,0.5758797735863959,75.78
2014-12-31T00:00:00,54.02,52.44,53.27,2,1200,31,2014,53.27,0.5343809471629005,74.09
2015-01-02T00:00:00,55.11,52.03,52.69,4,100,2,2015,52.69,0.5403679169897536,73.69
2015-01-05T00:00:00,52.73,49.68,50.04,0,100,5,2015,50.04,0.4049296894316956,69.0
2015-01-06T00:00:00,50.37,47.55,47.93,1,100,6,2015,47.93,0.434316361793841,69.0
2015-01-07T00:00:00,49.31,46.83,48.65,2,100,7,2015,47.93,0.395247999462801,67.38
2015-01-08T00:00:00,49.65,47.73,48.79,3,100,8,2015,47.93,0.4121951909831194,67.38
2015-01-09T00:00:00,49.61,47.16,48.36,4,100,9,2015,47.93,0.4066420884841755,66.81
2015-01-12T00:00:00,48.19,45.62,46.07,0,100,12,2015,46.07,0.40105491511884567,65.84
2015-01-13T00:00:00,46.79,44.2,45.89,1,100,13,2015,45.89,0.3515282486409189,63.82
2015-01-14T00:00:00,48.91,45.01,48.48,2,100,14,2015,45.89,0.36549213386507606,63.82
2015-01-15T00:00:00,51.27,46.07,46.25,3,100,15,2015,45.89,0.2893738893543539,60.94
2015-01-16T00:00:00,48.87,45.95,48.69,4,100,16,2015,45.89,0.2718609772395666,59.95
2015-01-20T00:00:00,48.77,45.89,46.39,1,100,20,2015,45.89,0.22148024593511928,57.81
2015-01-21T00:00:00,48.2,46.55,47.78,2,100,21,2015,45.89,0.21242727619494295,57.12
2015-01-22T00:00:00,49.09,45.87,46.31,3,100,22,2015,45.89,0.2222476796650999,57.12
2015-01-23T00:00:00,47.76,45.21,45.59,4,100,23,2015,45.59,0.2357703863267971,57.12
2015-01-26T00:00:00,46.41,44.35,45.15,0,100,26,2015,45.15,0.25160368968221325,57.12
2015-01-27T00:00:00,46.55,44.81,46.23,1,100,27,2015,45.15,0.26272870850822205,57.12
2015-01-28T00:00:00,45.83,44.08,44.45,2,100,28,2015,44.45,0.2830228413780961,57.12
2015-01-29T00:00:00,44.96,43.58,44.53,3,100,29,2015,44.45,0.29480246314865277,57.12
2015-01-30T00:00:00,48.35,44.31,48.24,4,100,30,2015,44.45,0.2644713651412112,55.84
2015-02-02T00:00:00,50.56,46.67,49.57,0,200,2,2015,44.45,0.23843865561160488,54.73
2015-02-03T00:00:00,54.24,49.69,53.05,1,200,3,2015,44.45,0.22769294764642384,54.12
2015-02-04T00:00:00,52.56,47.95,48.45,2,200,4,2015,44.45,0.2368378996011284,54.12
2015-02-05T00:00:00,52.1,47.36,50.48,3,200,5,2015,44.45,0.21849560658400496,53.27
2015-02-06T00:00:00,53.16,50.72,51.69,4,200,6,2015,44.45,0.21969425970789336,53.05
2015-02-09T00:00:00,53.99,51.65,52.86,0,200,9,2015,44.45,0.228693126016614,53.05
2015-02-10T00:00:00,52.65,49.86,50.02,1,200,10,2015,44.45,0.23875515382335433,53.05
2015-02-11T00:00:00,51.14,48.05,48.84,2,200,11,2015,44.45,0.24817886844258585,53.05
2015-02-12T00:00:00,51.6,49.14,51.21,3,200,12,2015,44.45,0.2589361041357884,53.05
2015-02-13T00:00:00,53.43,51.03,52.78,4,200,13,2015,44.45,0.2702997245630021,53.05
2015-02-17T00:00:00,54.15,50.81,53.53,1,200,17,2015,44.45,0.30232541813717684,53.53
2015-02-18T00:00:00,53.41,50.32,52.14,2,200,18,2015,44.45,0.31657545218666744,53.53
2015-02-19T00:00:00,52.14,49.15,51.16,3,200,19,2015,44.45,0.3342207547164126,53.53
2015-02-20T00:00:00,51.85,49.91,50.34,4,200,20,2015,44.45,0.35639729514054314,53.53
2015-02-23T00:00:00,50.99,48.67,49.45,0,200,23,2015,44.45,0.38188149186618564,53.53
2015-02-24T00:00:00,50.33,48.68,49.28,1,200,24,2015,44.45,0.409195797489623,53.53
